item	itemLabel	countryLabel	official_website	geo
http://www.wikidata.org/entity/Q4013	Hôtel-Dieu de Lyon	France		Point(4.83638889 45.75833333)
http://www.wikidata.org/entity/Q23198	Shanghai Tenth People's Hospital	People's Republic of China	http://www.shdsyy.com.cn/	Point(121.45369444 31.27172222)
http://www.wikidata.org/entity/Q25038	Hôpital Louis-H. Lafontaine	Canada	http://www.iusmm.ca	Point(-73.529 45.5886)
http://www.wikidata.org/entity/Q33341	Society for the Lying-In Hospital	United States of America		Point(-73.983611 40.734722)
http://www.wikidata.org/entity/Q36207	St Bernard's Hospital	United Kingdom	https://www.gha.gi/	Point(-5.35949 36.1434)
http://www.wikidata.org/entity/Q41471	Sonoma Valley Hospital	United States of America	http://www.svh.com/	Point(-122.465 38.2882)
http://www.wikidata.org/entity/Q49770	Berufsgenossenschaftliches Universitätsklinikum Bergmannsheil	Germany	http://www.bergmannsheil.de/en/start.html	Point(7.21139 51.4675)
http://www.wikidata.org/entity/Q49782	University Hospitals of the Ruhr-University of Bochum	Germany	http://www.uk.rub.de	Point(7.327411 51.464231)
http://www.wikidata.org/entity/Q59964	Lazzaretto Vecchio	Italy		Point(12.35949 45.406193)
http://www.wikidata.org/entity/Q72942	couvent des Récollets	France		Point(2.36 48.875277777)
http://www.wikidata.org/entity/Q88450	Xinhua Hospital	People's Republic of China	http://www.xinhuamed.com.cn/	Point(121.517 31.274)
http://www.wikidata.org/entity/Q126412	Massachusetts General Hospital	United States of America	https://www.massgeneral.org/	Point(-71.068888888 42.362777777)
http://www.wikidata.org/entity/Q127773	University Medical Center Freiburg	Germany	http://ims.uniklinik-freiburg.de/ru/glavnaja.html	Point(7.837778 48.006389)
http://www.wikidata.org/entity/Q127773	University Medical Center Freiburg	Germany	https://www.uniklinik-freiburg.de/de.html	Point(7.837778 48.006389)
http://www.wikidata.org/entity/Q127773	University Medical Center Freiburg	Germany	https://www.uniklinik-freiburg.de/en/uniklinikum.html	Point(7.837778 48.006389)
http://www.wikidata.org/entity/Q130282	Addenbrooke's Hospital	United Kingdom	https://www.cuh.nhs.uk	Point(0.14 52.176)
http://www.wikidata.org/entity/Q136231	N.N. Priorov National Medical Research Center of Traumatology and Orthopaedics	Russia	http://www.cito-priorov.ru/	Point(37.528587 55.81805)
http://www.wikidata.org/entity/Q136231	N.N. Priorov National Medical Research Center of Traumatology and Orthopaedics	Russia	http://www.cito-priorov.ru/	Point(37.530424 55.820059)
http://www.wikidata.org/entity/Q144829	Kaédi Regional Hospital	Mauritania		Point(-13.50673461 16.15043295)
http://www.wikidata.org/entity/Q155443	Hospital de los Reyes Católicos	Spain		Point(-8.545833333 42.881388888)
http://www.wikidata.org/entity/Q162684	Charité	Germany	https://www.charite.de/	Point(13.377222 52.526944)
http://www.wikidata.org/entity/Q163304	United States Naval Hospital Beaufort	United States of America		Point(-80.679444 32.385)
http://www.wikidata.org/entity/Q164946	St Bartholomew's Hospital	United Kingdom	https://www.bartshealth.nhs.uk/st-bartholomews	Point(-0.100519 51.5177)
http://www.wikidata.org/entity/Q168795	Allan Memorial Institute	Canada	http://www.psych.mcgill.ca/labs/rvh/location.html	Point(-73.5821 45.5059)
http://www.wikidata.org/entity/Q169435	Filatov Institute of Eye Diseases and Tissue Therapy	Ukraine	http://www.filatov.md	Point(30.76177 46.45427)
http://www.wikidata.org/entity/Q169910	Başkent University Medical and Research Center of Alanya	Turkey	http://www.baskent-aln.edu.tr/	Point(31.99415 36.54719)
http://www.wikidata.org/entity/Q180080	Vienna General Hospital	Austria	https://www.akhwien.at	Point(16.3475 48.22)
http://www.wikidata.org/entity/Q183356	Charenton asylum	France		Point(2.42972222 48.81861111)
http://www.wikidata.org/entity/Q184971	Zeisigwaldkliniken Bethanien Chemnitz	Germany	http://www.bethanien-chemnitz.de	Point(12.96275 50.840278)
http://www.wikidata.org/entity/Q190621	ZI Mannheim	Germany	https://www.zi-mannheim.de/en	Point(8.46549 49.4923)
http://www.wikidata.org/entity/Q190638	Zentralklinik Bad Berka	Germany	http://zentralklinik.de/	Point(11.26694444 50.88944444)
http://www.wikidata.org/entity/Q190655	Windhoek Central Hospital	Namibia	http://www.wch.gov.na/	Point(17.07095 -22.55417778)
http://www.wikidata.org/entity/Q197112	Standort Weißenau	Germany		Point(9.59861111 47.76222222)
http://www.wikidata.org/entity/Q204441	Istituto Giannina Gaslini	Italy	http://www.gaslini.org/	Point(8.988007 44.392843)
http://www.wikidata.org/entity/Q219283	Jorvi Hospital	Finland	http://www.hus.fi/en/medical-care/hospitals/jorvi-hospital/Pages/default.aspx	Point(24.689 60.222055555)
http://www.wikidata.org/entity/Q246315	Helsinki University Central Hospital	Finland	http://www.hus.fi/en/Pages/default.aspx	Point(24.90527778 60.18861111)
http://www.wikidata.org/entity/Q266227	Institut Gustave Roussy	France	https://www.gustaveroussy.fr/	Point(2.348611111 48.794694444)
http://www.wikidata.org/entity/Q288850	Acura-Rheumazentrum Baden-Baden	Germany	https://www.acura-kliniken.com/	Point(8.24715 48.7644)
http://www.wikidata.org/entity/Q292145	Farafenni General Hospital	The Gambia		Point(-15.60694444 13.575)
http://www.wikidata.org/entity/Q316207	University Medical Center Hamburg-Eppendorf	Germany	https://www.uke.de/	Point(9.976667 53.591389)
http://www.wikidata.org/entity/Q316207	University Medical Center Hamburg-Eppendorf	Germany	https://www.uke.de/english/	Point(9.976667 53.591389)
http://www.wikidata.org/entity/Q319026	Jewish Hospital Berlin	Germany	https://www.juedisches-krankenhaus.de/	Point(13.3706 52.5556)
http://www.wikidata.org/entity/Q323780	Pfäfers Abbey	Switzerland		Point(9.502083 46.990556)
http://www.wikidata.org/entity/Q324206	University Hospital Heidelberg	Germany	https://www.klinikum.uni-heidelberg.de/Startseite.2.0.html?&no_cache=1	Point(8.66667 49.4181)
http://www.wikidata.org/entity/Q352964	Addis Ababa Fistula Hospital	Ethiopia		Point(38.7544 9.0251)
http://www.wikidata.org/entity/Q368400	Groote Schuur Hospital	South Africa	http://capegateway.gov.za/gsh	Point(18.462777777 -33.941388888)
http://www.wikidata.org/entity/Q377963	Neurological Institute of New York	United States of America	http://www.cumc.columbia.edu/dept/neurology/	Point(-73.9429 40.8423)
http://www.wikidata.org/entity/Q386372	Telemark Hospital Trust	Norway	http://www.sthf.no/	Point(9.593055555 59.191111111)
http://www.wikidata.org/entity/Q388490	Hospital d'Inca	Spain	http://www.hcin.es	Point(2.92114167 39.71606667)
http://www.wikidata.org/entity/Q390555	Agaplesion Bethanien Krankenhaus Heidelberg	Germany	http://www.bethanien-heidelberg.de	Point(8.69047 49.391892)
http://www.wikidata.org/entity/Q390556	Bethesda Krankenhaus Wuppertal	Germany	http://www.bethesda-wuppertal.de/	Point(7.13084 51.2682)
http://www.wikidata.org/entity/Q390559	Agaplesion Elisabethenstift	Germany	http://www.agaplesion-elisabethenstift.de/	Point(8.66634 49.8738)
http://www.wikidata.org/entity/Q430159	Arnold Lodge	United Kingdom	http://www.nottinghamshirehealthcare.nhs.uk	Point(-1.094 52.6486)
http://www.wikidata.org/entity/Q430594	Uppsala University Hospital	Sweden	http://www.akademiska.se/	Point(17.640277777 59.847222222)
http://www.wikidata.org/entity/Q449325	German Cancer Research Center	Germany	https://www.dkfz.de/de/index.html	Point(8.6725 49.41416667)
http://www.wikidata.org/entity/Q449325	German Cancer Research Center	Germany	https://www.dkfz.de/en/index.html	Point(8.6725 49.41416667)
http://www.wikidata.org/entity/Q450139	University Hospital Zurich	Switzerland	http://www.en.usz.ch/Pages/default.aspx	Point(8.549722222 47.376666666)
http://www.wikidata.org/entity/Q450401	UC Irvine Medical Center	United States of America	http://www.ucirvinehealth.org/locations/orange/uc-irvine-medical-center/	Point(-117.889 33.7878)
http://www.wikidata.org/entity/Q456196	Ullevål University Hospital	Norway	http://www.ulleval.no	Point(10.737425 59.93680833)
http://www.wikidata.org/entity/Q470085	American Hospital of Paris	France	https://www.american-hospital.org	Point(2.2725 48.8929)
http://www.wikidata.org/entity/Q470564	Hadamar Euthanasia Centre	Germany	https://www.gedenkstaette-hadamar.de/	Point(8.04178 50.4508)
http://www.wikidata.org/entity/Q478165	Lund University Hospital	Sweden	http://www.skane.se/sus	Point(13.19833333 55.71166667)
http://www.wikidata.org/entity/Q485139	Berufsgenossenschaftliche Kliniken Bergmannstrost Halle	Germany	https://www.bg-kliniken.de/klinikum-bergmannstrost-halle/	Point(11.98555 51.46028)
http://www.wikidata.org/entity/Q500377	Policlinico Umberto I	Italy	https://www.policlinicoumberto1.it/	Point(12.510042 41.906562)
http://www.wikidata.org/entity/Q510979	Augenklinik Herzog Carl Theodor	Germany	http://www.augenklinik-muenchen.de/	Point(11.5515 48.1483)
http://www.wikidata.org/entity/Q511360	Elizabeth Garrett Anderson and Obstetric Hospital	United Kingdom		Point(-0.13065 51.52792)
http://www.wikidata.org/entity/Q511360	Elizabeth Garrett Anderson and Obstetric Hospital	United Kingdom		Point(-0.12965 51.52804)
http://www.wikidata.org/entity/Q513836	Wakkanai City Hospital	Japan	https://www.city.wakkanai.hokkaido.jp/hospital/	Point(141.673333333 45.413055555)
http://www.wikidata.org/entity/Q520779	Cottage Hospital, Monmouth	United Kingdom		Point(-2.71341 51.817431)
http://www.wikidata.org/entity/Q540055	Angkor Hospital for Children	Cambodia	http://angkorhospital.org/	Point(103.856189 13.358082)
http://www.wikidata.org/entity/Q548090	Hospital da Criança Santo Antônio	Brazil		Point(-51.2201941 -30.0301903)
http://www.wikidata.org/entity/Q560144	Klinikum Aachen	Germany	http://www.ukaachen.de/	Point(6.043611111 50.776388888)
http://www.wikidata.org/entity/Q564619	Annastift	Germany	https://www.diakovere.de/unternehmen-und-mehr/krankenhaeuser/annastift/	Point(9.80993 52.3697)
http://www.wikidata.org/entity/Q574872	Sina Hospital (Mashhad)	Iran	http://sinahosp.ir	Point(59.59973056 36.28139722)
http://www.wikidata.org/entity/Q577131	Psychiatrische Universitätsklinik Zürich	Switzerland	http://www.pukzh.ch/	Point(8.5706 47.3527)
http://www.wikidata.org/entity/Q580652	King Edward VII's Hospital Sister Agnes	United Kingdom	http://www.kingedwardvii.co.uk	Point(-0.150417 51.520917)
http://www.wikidata.org/entity/Q581167	Hospital Dr. Tony Facio Castro	Costa Rica		Point(-83.026445 9.99977)
http://www.wikidata.org/entity/Q586694	Hôpital Paul-Brousse	France	https://hopital-paul-brousse.aphp.fr	Point(2.36166667 48.79583333)
http://www.wikidata.org/entity/Q587763	Anton Proksch-Institut	Austria	http://antonprokschinstitut.at/	Point(16.2461 48.1364)
http://www.wikidata.org/entity/Q598814	Klinikum Großhadern	Germany		Point(11.46933 48.11101)
http://www.wikidata.org/entity/Q602748	McGill University Health Centre	Canada	https://muhc.ca/	Point(-73.600974 45.472891)
http://www.wikidata.org/entity/Q606548	St Antonius Spital in Gmünd	Austria		Point(13.5357 46.9064)
http://www.wikidata.org/entity/Q624119	Samsung Medical Center	South Korea	http://www.smc.or.kr	Point(127.08547222 37.48816667)
http://www.wikidata.org/entity/Q625321	Severance Hospital	South Korea	https://sev.iseverance.com/	Point(126.941 37.5624)
http://www.wikidata.org/entity/Q642435	Hohenlychen Sanatorium	Germany		Point(13.3261 53.2014)
http://www.wikidata.org/entity/Q642435	Hohenlychen Sanatorium	German Reich		Point(13.3261 53.2014)
http://www.wikidata.org/entity/Q657238	Waverly Hills Sanatorium	United States of America		Point(-85.841727777 38.130147222)
http://www.wikidata.org/entity/Q662515	Hospital Real de Todos os Santos	Portugal		Point(-9.13839 38.7136)
http://www.wikidata.org/entity/Q678369	Inselspital	Switzerland	https://www.insel.ch	Point(7.424444444 46.947222222)
http://www.wikidata.org/entity/Q678520	Santa Casa de Misericordia Hospital	Brazil	http://www.santacasa.org.br/en	Point(-51.2222 -30.0305)
http://www.wikidata.org/entity/Q679115	Colditz Castle	Germany	https://www.schloss-colditz.de/de/startseite/	Point(12.807483333 51.130783333)
http://www.wikidata.org/entity/Q708962	Losheng Sanatorium	Taiwan	http://www.lslp.mohw.gov.tw/	Point(121.40834 25.022851)
http://www.wikidata.org/entity/Q715290	Yangon General Hospital	Myanmar	http://yghhealthcare.org/	Point(96.148055555 16.778888888)
http://www.wikidata.org/entity/Q722560	Tzafon M.C.	Israel	https://www.poria.org.il/	Point(35.540384 32.752332)
http://www.wikidata.org/entity/Q731994	Asklepios Fachklinikum Göttingen	Germany		Point(9.916599 51.524329)
http://www.wikidata.org/entity/Q732007	Asklepios Fachklinikum Tiefenbrunn	Germany		Point(9.87167 51.4997)
http://www.wikidata.org/entity/Q732015	Asklepios Klinik Altona	Germany	https://www.asklepios.de/hamburg/altona/	Point(9.90271759 53.55434036)
http://www.wikidata.org/entity/Q732023	Asklepios Hospital Barmbek	Germany	http://www.asklepios.com/barmbek/	Point(10.036853 53.605815)
http://www.wikidata.org/entity/Q732030	Asklepios Klinikum Harburg	Germany	https://www.asklepios.com/hamburg/harburg/	Point(9.949247 53.460393)
http://www.wikidata.org/entity/Q732041	Asklepios Klinik Nord	Germany		Point(10.007301 53.672215)
http://www.wikidata.org/entity/Q732056	Asklepios Klinik St. Georg	Germany	https://www.asklepios.com/hamburg/sankt-georg/	Point(10.01802 53.559049)
http://www.wikidata.org/entity/Q732061	Asklepios Klinik Wandsbek	Germany	https://www.asklepios.com/hamburg/wandsbek	Point(10.088453 53.569921)
http://www.wikidata.org/entity/Q732086	Asklepios Westklinikum Hamburg	Germany		Point(9.777424 53.5821953)
http://www.wikidata.org/entity/Q744455	convent of San Marcos	Spain		Point(-5.582111111 42.601805555)
http://www.wikidata.org/entity/Q748094	Universitätsmedizin Mainz	Germany	http://www.unimedizin-mainz.de/home.html?L=1	Point(8.2579 49.9926)
http://www.wikidata.org/entity/Q760312	Augenheilanstalt Mülheim an der Ruhr	Germany		Point(6.90121 51.4331)
http://www.wikidata.org/entity/Q760857	North Okkalapa General Hospital	Myanmar		Point(96.157258 16.901184)
http://www.wikidata.org/entity/Q765362	Augusta-Kranken-Anstalt Bochum	Germany	http://www.augusta-bochum.de/	Point(7.2225 51.4853)
http://www.wikidata.org/entity/Q766049	Vivantes Auguste-Viktoria-Klinikum	Germany	http://www.vivantes.de/avk/	Point(13.3464 52.4625)
http://www.wikidata.org/entity/Q766059	Auguste-Viktoria-Stift	Germany		Point(7.62361 50.7994)
http://www.wikidata.org/entity/Q770094	Q770094	Hungary		Point(19.07915 47.5254)
http://www.wikidata.org/entity/Q774663	Mental Hospital Obrawalde	Poland		Point(15.618889 52.448817)
http://www.wikidata.org/entity/Q775409	Philippine General Hospital	Philippines	http://www.pgh.gov.ph/en/	Point(120.98583333 14.57777778)
http://www.wikidata.org/entity/Q777039	Guy's Hospital	United Kingdom		Point(-0.086944444 51.503333333)
http://www.wikidata.org/entity/Q778782	Landstuhl Regional Medical Center	Germany	https://landstuhl.tricare.mil/	Point(7.560278 49.404167)
http://www.wikidata.org/entity/Q781200	Skåne University Hospital	Sweden	http://www.skane.se/sv/Webbplatser/Skanes-universitetssjukhus/	Point(13.0025 55.588055555)
http://www.wikidata.org/entity/Q787406	BM Central Hospital and Institutions	Hungary	http://www.bm.hu/	Point(19.075 47.508333)
http://www.wikidata.org/entity/Q788687	Bajcsy-Zsilinszky Hospital	Hungary	http://bajcsy.hu/	Point(19.161218 47.478885)
http://www.wikidata.org/entity/Q795750	BDH-Klinik Elzach	Germany		Point(8.08 48.1747)
http://www.wikidata.org/entity/Q795751	BDH-Klinik Greifswald	Germany	http://www.bdh-klinik-greifswald.de/	Point(13.41166667 54.08944444)
http://www.wikidata.org/entity/Q810414	Basler Hospital	Switzerland		Point(9.8525 46.8133)
http://www.wikidata.org/entity/Q820012	Bergmannsheil und Kinderklinik Buer	Germany	https://www.bergmannsheil-buer.de/	Point(7.06045 51.5708)
http://www.wikidata.org/entity/Q820562	German Center for Pediatric and Adolescent Rheumatology	Germany	http://www.rheuma-kinderklinik.de	Point(11.1025 47.4875)
http://www.wikidata.org/entity/Q828946	Berufsgenossenschaftliche Unfallklinik Frankfurt am Main	Germany	http://www.bgu-frankfurt.de/	Point(8.70942 50.1453)
